Department,Department_Name,Division,Gender,Base_Salary,Overtime_Pay,Longevity_Pay,Grade
ABS,Alcohol Beverage Services,ABS 85 Administration,M,175873.0,0.0,0.0,M2
ABS,Alcohol Beverage Services,ABS 85 Administration,M,145613.36,0.0,0.0,M3
ABS,Alcohol Beverage Services,ABS 85 Administration,F,136970.0,0.0,0.0,M3
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,89432.694,0.0,2490.0,21
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,78947.0,456.68,6257.7,16
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,98228.0,518.8,998.28,21
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,82405.3864,549.2,0.0,18
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,M,93986.0,1187.06,2452.94,N20
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,149464.15,0.0,9021.82,18
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,M,117424.0,0.0,0.0,N25
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,82808.28,11870.82,0.0,21
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,M,65961.8438,2092.7,0.0,13
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,M,59288.86,1013.01,0.0,13
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,M,139407.15,0.0,0.0,M3
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,128531.0,0.0,0.0,N27
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,M,152632.07,0.0,0.0,M3
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,73955.2951,3509.43,0.0,16
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,M,117424.0,0.0,0.0,N25
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,M,117424.0,0.0,0.0,N25
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,110572.155,0.0,0.0,N26
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,61240.0,5294.68,995.18,10
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,61240.0,92.35,4827.4,10
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,86103.0,23917.44,3665.64,N18
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,61240.0,9580.78,459.3,10
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,86103.0,3165.46,3665.65,N18
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,75086.4937,6857.37,0.0,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,81931.2453,24672.86,0.0,N18
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,75621.0,2065.26,3471.32,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,75621.002,4453.91,3572.85,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,75621.0,10989.68,3436.83,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,75621.0,6505.89,1228.89,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,59047.2324,7762.45,0.0,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,75621.0,11987.31,1228.88,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,61240.0,7037.7,2091.16,10
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,72361.0418,8085.91,0.0,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,68944.3944,4539.49,0.0,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,75621.0,1662.14,0.0,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,59288.8374,1654.62,0.0,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,44906.3502,3194.01,0.0,10
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,56492.9983,689.42,0.0,10
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,65434.165,2033.02,0.0,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,53998.3375,103.06,0.0,10
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,60476.4824,2079.74,0.0,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,56997.156,7844.97,0.0,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,52377.6689,1949.38,0.0,10
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,51025.2354,855.92,0.0,10
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,52591.028,5708.94,0.0,10
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,54062.3451,4107.44,0.0,10
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,51547.6404,9244.92,0.0,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,49298.9741,569.16,0.0,10
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,43600.4411,4195.08,0.0,10
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,60263.8204,5788.37,0.0,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,68888.9515,7059.41,0.0,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,56884.1676,0.0,0.0,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,46425.4721,2092.35,0.0,10
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,69101.6094,5227.31,0.0,15
